Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD
1/2/2013,2952.870117,11.646400,16.400000,4.710000,0.532110,2.276790,66.449997,143.000000,0.970000,0.660000,12.800000,102.000000
1/3/2013,2975.239990,11.548500,16.700001,4.760000,0.533030,2.285710,68.300003,144.000000,0.970000,0.670000,12.700000,101.300003
1/4/2013,2996.280029,11.303800,16.750000,4.730000,0.533030,2.303570,69.849998,145.000000,1.060000,0.720000,12.350000,101.800003
1/7/2013,2993.229980,11.499600,17.000000,4.740000,0.535780,2.267860,68.800003,141.699997,1.070000,0.700000,12.500000,102.900002
1/8/2013,3018.000000,11.499600,17.400000,4.700000,0.539450,2.267860,68.000000,143.300003,1.060000,0.720000,12.500000,108.000000
1/9/2013,3071.830078,11.499600,17.400000,4.700000,0.539450,2.267860,68.000000,143.300003,1.060000,0.720000,12.500000,108.000000
1/10/2013,3114.199951,11.499600,17.400000,4.700000,0.539450,2.267860,68.000000,143.300003,1.060000,0.720000,12.500000,108.000000
1/11/2013,3107.659912,11.842100,17.950001,4.770000,0.550460,2.392860,70.699997,149.500000,1.130000,0.860000,12.950000,109.000000
1/14/2013,3095.399902,11.891000,18.500000,4.700000,0.557800,2.383930,70.300003,147.399994,1.130000,0.812000,12.850000,109.849998
1/15/2013,3082.399902,11.842100,17.950001,4.770000,0.550460,2.392860,70.699997,149.500000,1.130000,0.860000,12.950000,109.000000
1/16/2013,3134.000000,11.548500,19.250000,4.720000,0.564220,2.366070,71.949997,150.500000,1.170000,0.875000,12.750000,110.750000
1/17/2013,3168.540039,11.891000,20.000000,4.790000,0.571560,2.410710,71.800003,150.500000,1.180000,0.900000,13.000000,110.000000
1/18/2013,3197.350098,11.744200,20.650000,4.800000,0.568810,2.464290,72.250000,151.449997,1.160000,0.880000,13.000000,111.500000
1/21/2013,3250.389893,11.940000,20.299999,4.870000,0.582570,2.508930,73.000000,151.500000,1.190000,0.905000,13.200000,116.500000
1/22/2013,3306.199951,11.940000,20.299999,4.870000,0.582570,2.508930,73.000000,151.500000,1.190000,0.905000,13.200000,116.500000
1/23/2013,3300.860107,12.037800,21.600000,4.950000,0.591740,2.535710,71.800003,158.000000,1.220000,0.930000,13.400000,114.500000
1/24/2013,3316.250000,12.037800,21.600000,4.950000,0.591740,2.535710,71.800003,158.000000,1.220000,0.930000,13.400000,114.500000
1/25/2013,3339.770020,11.940000,22.200001,4.920000,0.577980,2.517860,74.599998,159.800003,1.270000,1.020000,13.000000,117.500000
1/28/2013,3342.100098,11.646400,22.650000,4.840000,0.586240,2.535710,74.599998,160.500000,1.290000,1.050000,12.600000,119.449997
1/29/2013,3470.149902,11.988900,23.000000,4.940000,0.610090,2.642860,74.500000,162.500000,1.350000,1.140000,13.300000,130.600006
1/30/2013,3462.419922,11.744200,23.350000,4.900000,0.608260,2.625000,72.300003,162.250000,1.310000,1.140000,13.150000,133.399994
1/31/2013,3462.419922,11.744200,23.350000,4.900000,0.608260,2.625000,72.300003,162.250000,1.310000,1.140000,13.150000,133.399994
2/1/2013,3531.459961,12.282500,24.400000,5.000000,0.609170,2.633930,73.250000,167.399994,1.340000,1.130000,13.800000,133.500000
2/5/2013,3357.899902,11.744200,23.900000,4.780000,0.596330,2.437500,65.199997,160.100006,1.240000,1.040000,13.050000,129.699997
2/6/2013,3290.010010,11.401700,23.600000,4.660000,0.575230,2.375000,64.000000,155.699997,1.150000,0.975000,12.700000,129.899994
2/7/2013,3302.969971,11.646400,23.900000,4.650000,0.565140,2.410710,64.000000,154.300003,1.170000,1.040000,12.700000,130.000000
2/8/2013,3279.959961,11.401700,23.049999,4.630000,0.568810,2.410710,62.799999,154.000000,1.190000,1.010000,12.750000,129.500000
2/13/2013,3307.800049,11.842100,22.900000,4.720000,0.565140,2.544640,62.849998,157.199997,1.180000,0.995000,12.800000,128.500000
2/14/2013,3303.790039,11.891000,22.450001,4.670000,0.574310,2.526790,62.500000,155.000000,1.210000,1.040000,12.950000,128.500000
2/15/2013,3295.419922,11.891000,22.700001,4.570000,0.577980,2.535710,62.000000,157.399994,1.200000,1.030000,13.000000,127.000000
