Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD
1/1/2018,31090.525391,154.000000,136.750000,123.699997,4.720000,15.100000,95.550003,295.000000,49.900002,45.750000,217.000000,421.750000
1/2/2018,31084.419922,157.250000,139.000000,124.449997,4.930000,15.800000,98.449997,296.600006,51.200001,46.599998,216.550003,434.149994
1/3/2018,31476.259766,155.350006,139.449997,123.550003,4.890000,16.350000,100.500000,301.149994,51.799999,46.799999,216.899994,440.149994
1/4/2018,31951.990234,159.399994,141.850006,129.899994,4.860000,16.400000,102.949997,308.000000,51.849998,47.349998,218.550003,439.700012
1/5/2018,32190.300781,161.949997,144.250000,129.750000,4.850000,16.200001,104.650002,313.950012,52.299999,47.250000,219.750000,431.750000
1/8/2018,32351.199219,163.800003,147.899994,127.900002,4.850000,15.850000,107.449997,314.950012,53.400002,48.299999,217.850006,449.200012
1/9/2018,32138.589844,161.949997,147.250000,126.800003,4.770000,15.700000,106.449997,312.700012,53.099998,48.049999,215.399994,457.000000
1/10/2018,31632.359375,157.600006,145.600006,127.599998,4.660000,15.400000,103.000000,306.600006,51.799999,47.799999,208.949997,446.600006
1/11/2018,32078.220703,158.649994,147.399994,129.199997,4.720000,15.400000,107.150002,320.000000,52.700001,49.599998,213.500000,462.500000
1/12/2018,32719.699219,163.899994,146.699997,133.000000,4.740000,15.950000,107.500000,324.350006,53.950001,50.150002,216.550003,470.549988
1/15/2018,33622.839844,170.500000,146.399994,137.649994,4.830000,16.350000,108.900002,331.500000,56.000000,53.000000,216.449997,491.950012
1/16/2018,33521.628906,168.649994,148.000000,136.899994,4.810000,16.549999,110.400002,319.700012,54.950001,53.250000,219.949997,482.149994
1/17/2018,33598.210938,168.500000,147.449997,136.800003,4.790000,16.549999,114.300003,327.600006,54.250000,54.700001,220.500000,481.049988
1/18/2018,34049.351563,167.899994,149.800003,138.699997,5.160000,16.900000,114.349998,328.750000,54.500000,55.299999,221.449997,483.000000
1/19/2018,33591.699219,164.449997,147.750000,136.899994,5.130000,16.650000,114.849998,331.149994,53.400002,55.849998,217.449997,473.049988
1/22/2018,33525.468750,162.250000,151.100006,134.000000,5.040000,16.650000,115.900002,341.850006,53.799999,57.400002,218.449997,482.850006
1/23/2018,33893.421875,164.000000,152.850006,134.500000,5.050000,16.799999,115.199997,349.649994,53.849998,57.500000,213.800003,499.899994
1/24/2018,34948.558594,167.100006,156.199997,134.550003,5.160000,17.200001,128.300003,352.950012,55.150002,59.500000,216.250000,517.950012
1/25/2018,35141.718750,167.949997,152.000000,133.550003,5.250000,17.200001,130.199997,352.500000,55.299999,61.000000,214.000000,518.650024
1/26/2018,35126.218750,165.800003,151.000000,130.550003,5.180000,17.350000,135.500000,356.600006,55.250000,62.099998,214.350006,510.000000
1/29/2018,34787.398438,164.100006,146.899994,128.199997,5.120000,17.100000,135.000000,349.350006,55.049999,60.049999,207.949997,485.350006
1/30/2018,34241.261719,162.000000,144.100006,129.550003,4.990000,17.200001,130.050003,343.200012,54.000000,58.250000,208.250000,471.899994
1/31/2018,34938.640625,165.850006,149.199997,134.350006,5.080000,17.000000,131.699997,340.000000,55.200001,61.049999,212.050003,478.100006
2/1/2018,34641.371094,160.800003,148.500000,133.750000,5.050000,16.700001,135.300003,345.799988,54.650002,59.650002,204.500000,475.149994
2/2/2018,32614.769531,150.050003,142.399994,124.300003,4.750000,15.900000,129.649994,328.250000,50.250000,56.049999,198.250000,455.049988
