Date,MERVAL,FRAN,TECO2,GGAL,COME,ALUA,APBR,TS,PAMP,EDN,BMA,YPFD,
7/18/2019,40752.750000,142.050003,149.250000,150.399994,2.960000,18.049999,342.750000,540.950012,57.450001,41.900002,285.700012,753.150024,
7/17/2019,41451.308594,142.050003,151.699997,152.899994,3.030000,18.299999,341.700012,548.250000,58.400002,42.900002,289.700012,765.799988,
7/16/2019,41788.261719,142.050003,151.199997,154.199997,3.060000,18.700001,344.850006,562.299988,59.000000,42.549999,296.649994,772.400024,
7/15/2019,41256.601563,142.050003,149.500000,151.800003,3.070000,18.900000,347.899994,570.200012,56.849998,42.099998,290.100006,764.049988,
7/12/2019,42753.101563,142.050003,150.500000,158.100006,3.150000,19.000000,350.100006,572.299988,59.700001,44.299999,305.950012,771.049988,
7/11/2019,42856.289063,142.050003,151.449997,158.350006,3.140000,19.400000,346.799988,574.500000,58.900002,44.599998,309.600006,772.650024,
7/10/2019,42807.078125,142.050003,149.500000,159.000000,3.110000,19.100000,341.600006,570.099976,59.200001,44.700001,313.549988,770.400024,
7/5/2019,41755.691406,142.050003,149.949997,152.649994,3.110000,19.250000,332.700012,553.250000,56.950001,42.400002,305.450012,761.049988,
7/4/2019,41380.378906,142.050003,144.600006,151.850006,3.130000,19.150000,337.950012,529.700012,57.049999,41.950001,301.299988,771.599976,
7/3/2019,41304.339844,142.050003,146.949997,150.949997,3.100000,19.200001,327.600006,538.450012,56.849998,40.599998,304.500000,771.599976,
7/2/2019,41793.128906,142.050003,150.100006,154.850006,3.150000,18.750000,321.649994,544.750000,58.599998,40.450001,310.350006,762.750000,
7/1/2019,41507.480469,142.050003,149.000000,150.199997,3.150000,18.600000,327.899994,557.500000,58.450001,40.950001,303.049988,784.000000,
6/28/2019,41796.359375,142.050003,152.000000,151.600006,3.130000,18.000000,330.750000,558.049988,59.450001,39.099998,312.600006,779.950012,
6/27/2019,41128.410156,142.050003,150.300003,145.600006,3.080000,17.650000,335.000000,553.900024,60.049999,39.250000,303.299988,787.000000,
6/26/2019,39916.769531,142.050003,147.649994,144.000000,3.080000,17.250000,338.950012,558.049988,55.349998,39.549999,290.000000,777.250000,
6/25/2019,40292.261719,142.050003,150.350006,147.649994,3.070000,16.799999,341.000000,540.049988,56.150002,39.250000,295.200012,770.000000,
6/24/2019,40111.980469,142.050003,149.800003,145.699997,3.060000,16.000000,351.299988,544.400024,57.150002,39.950001,286.899994,771.700012,
6/21/2019,40294.820313,142.050003,153.649994,146.500000,3.110000,16.100000,356.200012,558.250000,56.599998,40.700001,285.950012,781.250000,
6/19/2019,39861.820313,142.050003,151.199997,142.100006,3.100000,16.500000,343.399994,539.099976,56.049999,41.150002,282.700012,763.049988,
6/18/2019,40687.468750,142.050003,153.500000,146.449997,3.200000,16.700001,343.450012,543.150024,55.950001,41.950001,294.049988,769.299988,
6/14/2019,40487.609375,142.050003,152.500000,145.550003,3.200000,16.600000,340.000000,530.500000,56.500000,42.400002,288.649994,751.049988,
6/13/2019,40646.281250,142.050003,151.500000,148.300003,3.160000,16.950001,336.549988,539.250000,56.500000,43.650002,297.649994,746.299988,
6/12/2019,40698.210938,142.050003,153.600006,149.449997,2.990000,17.299999,330.500000,522.750000,58.000000,43.049999,296.149994,747.849976,
6/11/2019,38283.250000,142.050003,141.899994,135.000000,2.920000,16.600000,344.500000,561.000000,52.150002,40.849998,271.000000,740.549988,
6/10/2019,36452.800781,142.050003,141.050003,127.750000,2.850000,16.100000,336.899994,556.799988,48.049999,39.000000,259.200012,719.000000,
6/7/2019,35662.871094,142.050003,137.500000,123.150002,2.850000,15.650000,345.000000,552.650024,47.150002,37.900002,251.850006,700.750000,
6/6/2019,35733.699219,142.850006,138.000000,123.900002,2.850000,15.500000,335.250000,552.349976,49.200001,37.950001,249.850006,686.250000,
6/5/2019,35275.941406,140.300003,139.949997,121.050003,2.860000,15.000000,329.149994,541.500000,49.099998,38.400002,245.050003,675.349976,
6/4/2019,34700.839844,136.800003,132.550003,117.900002,2.910000,15.000000,333.950012,552.750000,47.450001,38.500000,239.149994,674.200012,
6/3/2019,33765.210938,130.250000,133.550003,112.099998,2.900000,14.950000,332.200012,547.500000,45.599998,38.450001,225.050003,670.250000,
5/31/2019,33949.531250,134.300003,132.600006,114.699997,2.920000,14.850000,323.750000,525.500000,45.450001,38.849998,223.850006,663.150024,
5/30/2019,34239.261719,132.899994,130.350006,115.949997,2.930000,14.900000,323.700012,539.599976,46.650002,40.049999,223.399994,669.950012,
5/29/2019,33967.328125,130.649994,133.100006,114.150002,2.950000,15.150000,324.850006,551.049988,46.150002,40.599998,215.550003,669.799988,
5/28/2019,34643.539063,136.300003,140.699997,115.800003,3.030000,15.200000,322.299988,555.700012,46.500000,41.849998,218.000000,698.400024,
5/27/2019,35448.460938,144.899994,143.850006,119.849998,3.060000,15.250000,321.399994,566.900024,48.349998,42.799999,227.750000,699.400024,
5/24/2019,35084.921875,143.649994,143.050003,119.949997,3.020000,15.200000,321.950012,572.099976,46.750000,42.049999,226.149994,691.450012,
5/23/2019,34378.550781,139.199997,140.899994,117.650002,2.900000,15.350000,317.399994,585.500000,45.849998,41.000000,219.800003,674.950012,
