actorID,movieID,relationship
3,8,[Agent Smith]
2,8,[Morpheus]
1,8,[Trinity]
8,8,[Neo]
3,9,[Agent Smith]
2,9,[Morpheus]
1,9,[Trinity]
8,9,[Neo]
12,10,[John Milton]
11,10,[Mary Ann Lomax]
8,10,[Kevin Lomax]
24,14,[Pfc. Louden Downey]
22,14,[Lt. Sam Weinberg]
23,14,[Lt. Col. Matthew Andrew Markinson]
27,14,[Man in Bar]
21,14,[Cpl. Carl Hammaker]
25,14,[Dr. Stone]
20,14,[Cpl. Jeffrey Barnes]
19,14,[Lt. Jonathan Kendrick]
18,14,[Capt. Jack Ross]
17,14,[Lt. Cdr. JoAnne Galloway]
16,14,[Col. Nathan R. Jessup]
15,14,[Lt. Daniel Kaffee]
30,28,[Iceman]
33,28,[Carole]
32,28,[Viper]
29,28,[Charlie]
15,28,[Maverick]
31,28,[Goose]
39,36,[Frank Cushman]
41,36,[Laurel Boyd]
40,36,[Bob Sugar]
21,36,[Rod Tidwell]
43,36,[Ray Boyd]
37,36,[Dorothy Boyd]
38,36,[Avery Bishop]
42,36,[Marcee Tidwell]
15,36,[Jerry Maguire]
39,45,[Vern Tessio]
46,45,[Chris Chambers]
50,45,[Mr. Lachance]
48,45,[Gordie Lachance]
19,45,[Ace Merrill]
49,45,[Denny Lachance]
47,45,[Teddy Duchamp]
52,51,[Carol Connelly]
16,51,[Melvin Udall]
21,51,[Frank Sachs]
53,51,[Simon Bishop]
59,55,[Chris Nielsen]
21,55,[Albert Lewis]
57,55,[The Tracker]
58,55,[The Face]
56,55,[Annie Collins-Nielsen]
62,61,[Ishmael Chambers]
63,61,[Kazuo Miyamoto]
57,61,[Nels Gudmundsson]
64,61,[Judge Fielding]
70,66,[Joe Fox]
67,66,[Patricia Eden]
53,66,[Frank Navasky]
33,66,[Kathleen Kelly]
69,66,[George Pappas]
68,66,[Kevin Jackson]
33,72,[Annie Reed]
75,72,[Greg]
70,72,[Sam Baldwin]
74,72,[Walter]
73,72,[Suzy]
76,72,[Becky]
70,77,[Joe Banks]
79,77,[Baw]
33,77,"[DeDe,Angelica Graynamore,Patricia Graynamore]"
82,80,[Marie]
81,80,[Harry Burns]
83,80,[Jess]
33,80,[Sally Albright]
70,84,[Mr. White]
85,84,[Faye Dolan]
11,84,[Tina]
87,86,[Annabelle Farrell]
8,86,[Shane Falco]
89,86,[Clifford Franklin]
88,86,[Jimmy McGinty]
93,91,[Squad Leader]
69,91,[Duane]
92,91,[Dieter Dengler]
50,91,[Admiral]
59,94,[Armand Goldman]
79,94,[Albert Goldman]
88,94,[Sen. Kevin Keeley]
98,96,[Bill Munny]
88,96,[Little Bill Daggett]
97,96,[English Bob]
102,99,[J-Bone]
101,99,[Jane]
8,99,[Johnny Mnemonic]
100,99,[Takahashi]
70,104,"[Zachry,Dr. Henry Goose,Isaac Sachs,Dermot Hoggins]"
106,104,"[Vyvyan Ayrs,Captain Molyneux,Timothy Cavendish]"
105,104,"[Luisa Rey,Jocasta Ayrs,Ovid,Meronym]"
3,104,"[Bill Smoke,Haskell Moore,Tadeusz Kesselring,Nurse Noakes,Boardman Mephi,Old Georgie]"
70,110,[Dr. Robert Langdon]
111,110,[Sir Leight Teabing]
112,110,[Sophie Neveu]
113,110,[Silas]
170,115,[V]
118,115,[High Chancellor Adam Sutler]
117,115,[Eric Finch]
116,115,[Evey Hammond]
3,115,[V]
119,115,[Dascomb]
121,120,[Speed Racer]
126,120,[Taejo Togokahn]
125,120,[Trixie]
119,120,[Cass Jones]
123,120,[Mom]
122,120,[Pops]
124,120,[Racer X]
126,127,[Raizo]
119,127,[Ryan Maslow]
63,127,[Takeshi]
128,127,[Mika Coretti]
132,129,"[""Wild Bill"" Wharton]"
41,129,[Jan Edgecomb]
134,129,[Melinda Moores]
64,129,[Warden Hal Moores]
70,129,[Paul Edgecomb]
130,129,[John Coffey]
131,129,"[Brutus ""Brutal"" Howell]"
133,129,[Burt Hammersmith]
132,136,"[James Reston, Jr.]"
138,136,[David Frost]
137,136,[Richard Nixon]
139,136,[Bob Zelnick]
18,136,[Jack Brennan]
142,140,"[Peter ""Pete"" Connelly]"
141,140,"[Robert ""Bobby"" Ciaro]"
23,140,[Frank Fitzsimmons]
16,140,[Hoffa]
70,143,[Jim Lovell]
144,143,[Gene Kranz]
133,143,[Ken Mattingly]
18,143,[Jack Swigert]
145,143,[Fred Haise]
52,146,[Dr. Jo Harding]
145,146,[Bill Harding]
147,146,"[Dustin ""Dusty"" Davis]"
93,146,[Eddie]
52,149,[Kelly Frears]
70,149,[Chuck Noland]
141,151,[Martini]
16,151,[Randle McMurphy]
8,153,[Julian Mercer]
154,153,[Erica Barry]
16,153,[Harry Sanborn]
59,156,[Andrew Marin]
139,156,[Rupert Burns]
159,158,[Joanne Herring]
70,158,[Rep. Charlie Wilson]
147,158,[Gust Avrakotos]
70,160,"[Hero Boy,Father,Conductor,Hobo,Scrooge,Santa Claus]"
70,161,[Jimmy Dugan]
162,161,"[""All the Way"" Mae Mordabito]"
76,161,[Doris Murphy]
163,161,[Dottie Hinson]
145,161,[Bob Hinson]
164,161,[Kit Keller]
7,176,[Emil]
3,176,[Agent Smith]
2,176,[Morpheus]
1,176,[Trinity]
8,176,[Neo]
