personID,personName,personBorn
8,Keanu Reeves,1964
1,Carrie-Anne Moss,1967
2,Laurence Fishburne,1961
3,Hugo Weaving,1960
4,Lilly Wachowski,1967
5,Lana Wachowski,1965
6,Joel Silver,1952
7,Emil Eifrem,1978
11,Charlize Theron,1975
12,Al Pacino,1940
13,Taylor Hackford,1944
15,Tom Cruise,1962
16,Jack Nicholson,1937
17,Demi Moore,1962
18,Kevin Bacon,1958
19,Kiefer Sutherland,1966
20,Noah Wyle,1971
21,Cuba Gooding Jr.,1968
22,Kevin Pollak,1957
23,J.T. Walsh,1943
24,James Marshall,1967
25,Christopher Guest,1948
26,Rob Reiner,1947
27,Aaron Sorkin,1961
29,Kelly McGillis,1957
30,Val Kilmer,1959
31,Anthony Edwards,1962
32,Tom Skerritt,1933
33,Meg Ryan,1961
34,Tony Scott,1944
35,Jim Cash,1941
37,Renee Zellweger,1969
38,Kelly Preston,1962
39,Jerry O'Connell,1974
40,Jay Mohr,1970
41,Bonnie Hunt,1961
42,Regina King,1971
43,Jonathan Lipnicki,1996
44,Cameron Crowe,1957
46,River Phoenix,1970
47,Corey Feldman,1971
48,Wil Wheaton,1972
49,John Cusack,1966
50,Marshall Bell,1942
52,Helen Hunt,1963
53,Greg Kinnear,1963
54,James L. Brooks,1940
56,Annabella Sciorra,1960
57,Max von Sydow,1929
58,Werner Herzog,1942
59,Robin Williams,1951
60,Vincent Ward,1956
62,Ethan Hawke,1970
63,Rick Yune,1971
64,James Cromwell,1940
65,Scott Hicks,1953
67,Parker Posey,1968
68,Dave Chappelle,1973
69,Steve Zahn,1967
70,Tom Hanks,1956
71,Nora Ephron,1941
73,Rita Wilson,1956
74,Bill Pullman,1953
75,Victor Garber,1949
76,Rosie O'Donnell,1962
78,John Patrick Stanley,1950
79,Nathan Lane,1956
81,Billy Crystal,1948
82,Carrie Fisher,1956
83,Bruno Kirby,1949
85,Liv Tyler,1977
87,Brooke Langton,1970
88,Gene Hackman,1930
89,Orlando Jones,1968
90,Howard Deutch,1950
92,Christian Bale,1974
93,Zach Grenier,1954
95,Mike Nichols,1931
97,Richard Harris,1930
98,Clint Eastwood,1930
100,Takeshi Kitano,1947
101,Dina Meyer,1968
102,Ice-T,1958
103,Robert Longo,1953
105,Halle Berry,1966
106,Jim Broadbent,1949
107,Tom Tykwer,1965
108,David Mitchell,1969
109,Stefan Arndt,1961
111,Ian McKellen,1939
112,Audrey Tautou,1976
113,Paul Bettany,1971
114,Ron Howard,1954
116,Natalie Portman,1981
117,Stephen Rea,1946
118,John Hurt,1940
119,Ben Miles,1967
121,Emile Hirsch,1985
122,John Goodman,1960
123,Susan Sarandon,1946
124,Matthew Fox,1966
125,Christina Ricci,1980
126,Rain,1982
128,Naomie Harris,null
130,Michael Clarke Duncan,1957
131,David Morse,1953
132,Sam Rockwell,1968
133,Gary Sinise,1955
134,Patricia Clarkson,1959
135,Frank Darabont,1959
137,Frank Langella,1938
138,Michael Sheen,1969
139,Oliver Platt,1960
141,Danny DeVito,1944
142,John C. Reilly,1965
144,Ed Harris,1950
145,Bill Paxton,1955
147,Philip Seymour Hoffman,1967
148,Jan de Bont,1943
150,Robert Zemeckis,1951
152,Milos Forman,1932
154,Diane Keaton,1946
155,Nancy Meyers,1949
157,Chris Columbus,1958
159,Julia Roberts,1967
162,Madonna,1954
163,Geena Davis,1956
164,Lori Petty,1963
165,Penny Marshall,1943
166,Paul Blythe,null
167,Angela Scope,null
168,Jessica Thompson,null
169,James Thompson,null
170,Gabriel Guillen,null
